270	243.668	0	81.42	150
112.5	358.029	102	454.888	150
90	216.094	40	48.3133	150
180	1162.66	0	94.6653	150
6.24	-545.533	-54	302.001	150
4.08015	16.676	-54	-661.529	150
3.09841	-352.872	153	-484.751	150
2.11666	137.588	140	-851.373	150
3.8838	435.572	118	-578.607	150
0.153162	154.659	43	-354.753	150
0.153162	124.001	84	785.548	150
390	-51.9	0	-251.8	150
232.5	215	102	-537.5	150
210	-66.4	40	-211.1	150
300	-499.2	0	-1054.7	150
510	-192.1	0	170.8	150
352.5	-573	102	82.5	150
330	-149.6	40	163.1	150
420	-663.8	0	959.7	150
