315	347.15	0	430.014	80
585	429.61	102	473.074	80
270	294.857	0	86.5331	80
697.5	234.429	0	971.084	80
225	237.793	0	992.777	80
2.11666	-24.2873	-53	-207.528	80
6.24	-354.533	153	-356.404	80
4.6692	-308.626	153	-438.677	80
2.11666	120.089	140	-788.937	80
3.49111	430.172	118	-511.628	80
1.72396	-377.805	109	299.889	80
0.349512	525.236	154	-99.0761	80
5.8473	611.063	154	-83.1509	80
4.2765	535.454	154	-45.4316	80
3.29476	500.744	154	-72.4731	80
1.92031	493.575	154	-125.624	80
0.545862	558.991	154	-142.479	80
5.65095	542.528	154	-76.5813	80
4.2765	475.364	154	-18.7336	80
2.50936	590.28	154	-51.7148	80
2.50936	416.849	218	-77.0985	80
6.04365	417.306	218	-112.687	80
435	198.9	0	-515.5	80
705	194.6	102	-608.9	80
390	-72.2	0	-299	80
817.5	723.9	0	-688.2	80
345	741	0	-702.6	80
555	-545.9	0	85.5	80
825	-624.6	102	135.9	80
510	-222.8	0	212	80
937.5	-957.9	0	-282.9	80
465	-979	0	-290.4	80
